artist,song,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
The Record Company,Off The Ground,0.543,0.696,7.0,-4.572,1.0,0.0426,0.601,0.215,0.384,0.849,92.15,audio_features,3xRzUblYGZhVs52fMjii7R,spotify:track:3xRzUblYGZhVs52fMjii7R,https://api.spotify.com/v1/tracks/3xRzUblYGZhVs52fMjii7R,https://api.spotify.com/v1/audio-analysis/3xRzUblYGZhVs52fMjii7R,253747.0,4.0
Chris Stapleton,Tennessee Whiskey,0.387,0.375,9.0,-10.852,1.0,0.0355,0.205,0.00647,0.0807,0.503,50.454,audio_features,1hMFIOaHdvpWK7XI80Wx4d,spotify:track:1hMFIOaHdvpWK7XI80Wx4d,https://api.spotify.com/v1/tracks/1hMFIOaHdvpWK7XI80Wx4d,https://api.spotify.com/v1/audio-analysis/1hMFIOaHdvpWK7XI80Wx4d,293293.0,4.0
Nathaniel Rateliff & The Night Sweats,I Need Never Get Old,0.618,0.74,7.0,-5.589,1.0,0.0386,0.00227,0.0408,0.0797,0.809,135.088,audio_features,2KHuxWSwK8fB1zZSL1pECV,spotify:track:2KHuxWSwK8fB1zZSL1pECV,https://api.spotify.com/v1/tracks/2KHuxWSwK8fB1zZSL1pECV,https://api.spotify.com/v1/audio-analysis/2KHuxWSwK8fB1zZSL1pECV,253733.0,4.0
John Lee Hooker,"One Bourbon, One Scotch, One Beer",0.746,0.56,5.0,-14.789,1.0,0.0565,0.494,0.0,0.316,0.853,124.68,audio_features,7oy11oZXWxwRYn5DUxk0oW,spotify:track:7oy11oZXWxwRYn5DUxk0oW,https://api.spotify.com/v1/tracks/7oy11oZXWxwRYn5DUxk0oW,https://api.spotify.com/v1/audio-analysis/7oy11oZXWxwRYn5DUxk0oW,184960.0,4.0
Derek & The Dominos,Have You Ever Loved A Woman?,0.303,0.648,0.0,-6.795,1.0,0.0512,0.642,0.053,0.407,0.644,170.379,audio_features,2ROJOb98GorxStuOuZWcGd,spotify:track:2ROJOb98GorxStuOuZWcGd,https://api.spotify.com/v1/tracks/2ROJOb98GorxStuOuZWcGd,https://api.spotify.com/v1/audio-analysis/2ROJOb98GorxStuOuZWcGd,412960.0,3.0
Barns Courtney,Fire,0.553,0.635,10.0,-6.06,0.0,0.0294,0.208,0.000672,0.076,0.45,108.38,audio_features,6pWsAhgMZzoLAJ0hJP41iq,spotify:track:6pWsAhgMZzoLAJ0hJP41iq,https://api.spotify.com/v1/tracks/6pWsAhgMZzoLAJ0hJP41iq,https://api.spotify.com/v1/audio-analysis/6pWsAhgMZzoLAJ0hJP41iq,197523.0,4.0
Tyler Bryant & the Shakedown,Devil's Keep,0.646,0.724,11.0,-5.383,1.0,0.0237,0.0531,0.000588,0.0597,0.328,103.394,audio_features,3fxETTPvwxkkpq3Ax2ZbcN,spotify:track:3fxETTPvwxkkpq3Ax2ZbcN,https://api.spotify.com/v1/tracks/3fxETTPvwxkkpq3Ax2ZbcN,https://api.spotify.com/v1/audio-analysis/3fxETTPvwxkkpq3Ax2ZbcN,265587.0,4.0
Vintage Trouble,Run Like The River,0.649,0.944,2.0,-4.518,1.0,0.0485,0.0158,4.41e-05,0.161,0.489,126.059,audio_features,47aeY6IupdZAkLVoe5atUB,spotify:track:47aeY6IupdZAkLVoe5atUB,https://api.spotify.com/v1/tracks/47aeY6IupdZAkLVoe5atUB,https://api.spotify.com/v1/audio-analysis/47aeY6IupdZAkLVoe5atUB,219745.0,4.0
U2,When Love Comes To Town,0.65,0.665,9.0,-11.259,1.0,0.0372,0.0526,4.62e-06,0.13,0.593,115.51,audio_features,0rkcFGA6XEVd2XV2JI6msk,spotify:track:0rkcFGA6XEVd2XV2JI6msk,https://api.spotify.com/v1/tracks/0rkcFGA6XEVd2XV2JI6msk,https://api.spotify.com/v1/audio-analysis/0rkcFGA6XEVd2XV2JI6msk,254267.0,4.0
George Thorogood & The Destroyers,Bad To The Bone,0.459,0.727,0.0,-11.777,1.0,0.0303,0.00614,0.0652,0.384,0.955,149.231,audio_features,6s0NHplywwr1IjnQpUpWJk,spotify:track:6s0NHplywwr1IjnQpUpWJk,https://api.spotify.com/v1/tracks/6s0NHplywwr1IjnQpUpWJk,https://api.spotify.com/v1/audio-analysis/6s0NHplywwr1IjnQpUpWJk,292173.0,1.0
Eric Clapton,Cocaine,0.699,0.502,9.0,-12.526,1.0,0.0278,0.0607,0.0337,0.317,0.676,105.267,audio_features,2udGjDmpK1dH9VGyw7nrei,spotify:track:2udGjDmpK1dH9VGyw7nrei,https://api.spotify.com/v1/tracks/2udGjDmpK1dH9VGyw7nrei,https://api.spotify.com/v1/audio-analysis/2udGjDmpK1dH9VGyw7nrei,221640.0,4.0
